ISIN;WKN;Ticker-Symbol;Wertpapiername;WÃ¤hrung;Notiz
DE0007037129;;RWE.DE;RWE;EUR;
DE0007164600;;SAP.DE;SAP;EUR;
US5949181045;;MSF.DE;Microsoft;EUR;
US4581401001;;INL.DE;Intel;EUR;
DE0005557508;;DTE.DE;Deutsche Telekom;EUR;
DE000BASF111;;BAS.DE;BASF SE;EUR;
DE000ENAG999;ENAG99;EOAN.DE;E.ON SE NA O.N.;EUR;
AU000000CUV3;A0JEGY;UR9.SG;CLINUVEL PHARMACEUTICALS;EUR;
DE000A0JK2A8;A0JK2A;AR4.DE;Aurelius Beteiligung;EUR;
DE000A2YN900;A2YN90;TMV.DE;TeamViewer;EUR;
"";846900;^GDAXI;DAX;EUR;
"";;^MDAXI;MDAX;EUR;
"";;^GSPC;S&P 500;EUR;
"";747206;WDI.DE;Wirecard;EUR;
"";A14XJP;9BT.SG;Goldmoney;EUR;
"";A12B6K;VNRX;VolitionRX Ldt;USD;
IE00B9KNR336;A1T8GC;ZPRA.DE;SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF;EUR;
GB00B03MM408;A0ER6S;R6C3.DE;ROYAL DUTCH SHELL B EO-07;EUR;
"";903276;GAZ.BE;GazpromPJSCNam.Akt.(Sp.ADRs)/2RL 5;EUR;
CA3499151080;A0ETVA;F4S.DE;Fortuna Silver Mines;EUR;
